

13,-2000
70,500
81,500
102,1000
183,1000
197,1000
254,1000

65,-2000
69,500

82,-2000
119,500

1,-2000
16,500
25,500
46,500
70,500
92,500
111,500
185,500
263,500
270,500
277,500
284,500
314,500
375,500
384,500
393,500
428,500
463,500
471,500
475,500
515,500
522,500
583,500
619,500
627,500
652,500
690,500
701,500
706,500
716,500
723,500
731,500
761,500
802,500
818,500
902,500
942,500
975,500
984,500
1003,500
1046,500
1093,500
1169,500
1221,500
1260,500
1294,500
1318,500
1354,500
1394,500
1565,500
1627,500
1640,500
1648,500
1668,500
1678,500
1724,500
1752,500
1808,500
1840,500
1858,500
1867,500
1872,500
1929,500
1939,500
1960,500
2027,500
2031,500
2084,500
2109,500
2131,500
2155,500
2166,500
2178,500
2226,500
2276,500
2303,500
2309,500
2325,500
2345,500

110,-2000
111,500
114,500
151,500
157,500
183,500
232,500
237,500
257,500
285,500
344,500
426,500

2,-2000
28,500
44,500
46,500
69,500
72,500
85,500
117,500
123,500
145,500
166,500
188,500
199,500
272,500

40,-2000
97,1000
113,1250

122,-2000
129,500
165,500
192,500

1,-2000
130,500
158,500
189,1250
262,-2000
265,500
296,500
305,500
308,500
376,1250
389,-2000
403,1250
