

71,-1500
74,500
187,1500
209,-1000
250,1500
257,1500

6,-1000
11,200
98,-1500
189,-1000
200,-1500
220,500
223,1500
224,1500
228,1500
229,1500
236,1500
237,1500

22,-2500
28,-1000

27,-1000
94,-1000
124,1000

26,-1500
28,-1500
65,-1000
66,-1000
79,1000
87,1000
105,-2500
164,-1000
307,500
321,-1500
400,500
412,-1000
437,500
530,-1000
565,-1000
593,-1000
596,-1500
621,-1500
635,500
641,-1000
647,-2500
756,-1000
868,-1000
940,500
964,500
976,-1500
977,-1500
1175,500
1182,200
1202,1000
1230,500
1245,-1000
1252,1500
1299,-1500
1323,1500
1341,-1000
1345,500
1355,-1500
1430,-2500
1486,200
1491,200
1521,-2500
1560,-2500
1574,500
1654,1000
1675,2000
1697,-1000
1702,200
1759,1500
1801,1500
1806,-1000
1869,-1500
1876,500
1907,-2500
1979,500
1992,1500
2013,-2500
2037,-1000
2064,200
2138,500
2243,1000
2264,-1000
2305,-1500
2337,1000

17,-1500
30,1500
43,-1000
44,-1000

59,1500
91,-2500
123,1500

67,1500
70,1500
73,1500
76,1500
79,1500
95,500
112,-1500
113,-1500
162,-1000
168,1500
172,1500
175,-1500
210,500
211,500
225,500
248,1500
258,-1000
277,200
283,200
309,-1000
319,200
322,200
373,-2500
418,500

12,500
94,-1000
114,1500
227,1500
245,-1000
251,500
265,500
305,500
317,1500

56,-1500

8,500
25,500
31,1500
44,1500
82,500
186,1500
201,500

21,-1000
44,-1500
120,-1000
165,-1000
171,-1000
236,-1000
247,1500
263,-2500
291,1500
320,1500
