

93,-9500
149,2200
151,2200
158,2200
211,2200
222,2200
246,2200
262,2200

16,-9500
37,1400
45,2000

728,-9500
732,1400
758,1400
791,1400
809,1400
882,1400
905,1400
939,1400
1017,1400
1074,1400
1203,1400
1247,1400
1277,1400
1420,1400
1497,1400
1512,1400
1520,1400
1524,1400
1529,1400
1532,1400
1535,1400
1538,1400
1541,1400
1544,1400
1580,1400
1591,1400
1595,1400
1626,1400
1669,1400
1677,1400
1684,1400
1704,1400
1735,1400
1746,1400
1769,1400
1798,1400
1811,1400
1868,1400
1875,1400
1938,1400
1950,1400
1955,1400
1996,1400
2028,1400
2040,1400
2054,1400
2118,1400
2174,1400
2267,1400
2285,1400
2291,1400
2302,1400
2307,1400
2341,2000

15,-9500
27,1400
38,1400
104,1400
155,1400
163,1400
176,1400
198,1400
202,1400
232,2000

29,-9500
38,1400
43,2200
58,2200
116,2200
121,2000

28,-9500
57,1400
87,1400
104,1400
136,1400
194,2000

186,-9500
190,1400
203,1400
251,1400
279,1400
286,1400
315,1400
341,1400
