
4,-3200
5,-3200
6,-3200
19,1500
130,-3200
144,300
17,-3200
19,-3200
55,1300
66,1300
81,1300
83,1300
87,1300
95,1300
103,1300
105,1300
3,-3200
4,-3200
5,-3200
34,2600
38,2600
10,-3200
18,-3200
42,-3200
53,2600
62,2600
83,2600
90,2600
12,-3200
18,1500
37,-3200
49,300
69,300
70,300
74,300
94,300
114,300
147,-3200
164,300
180,300
35,-3200
36,-3200
37,-3200
52,2600
68,2600
85,-3200
95,-3200
168,4900
37,-3200
46,-3200
47,-3200
58,-3200
89,-3200
111,300
55,-3200
56,-3200
57,-3200
35,-3200
40,300
47,300
48,-3200
49,1300
121,1300
140,1300
143,1300
156,1300
172,-3200
177,2600
195,2600
199,-3200
69,-3200
79,300
140,300
143,-3200
144,1300
153,1300
166,1300
175,1300
180,1300
54,-3200
66,-3200
96,300
108,300
112,300
143,-3200
156,1300
168,1300
198,1300
150,-3200
151,-3200
152,-3200
153,-3200
154,-3200
160,4900
167,4900
174,4900
36,-3200
40,300
41,300
59,300
68,1500
180,-3200
191,600
243,600
168,-3200
199,1500
15,-3200
42,300
56,300
36,-3200
37,-3200
38,-3200
43,-3200
44,-3200
113,4900
29,-3200
51,300
53,-3200
63,1300
65,-3200
79,2600
81,2600
101,1500
41,-3200
54,-3200
66,1300
75,1300
83,-3200
84,-3200
85,-3200
105,-3200
106,300
109,300
112,300
115,300
118,300
121,300
175,-3200
179,1300
196,1300
209,1300
217,1300
225,1300
240,1300
26,-3200
39,1500
32,-3200
44,300
50,300
57,300
80,300
89,300
118,300
138,300
169,-3200
170,-3200
171,-3200
172,-3200
25,-3200
26,-3200
31,-3200
32,-3200
49,3900
21,-3200
25,300
36,-3200
37,-3200
38,-3200
39,-3200
51,4900
58,4900
74,4900
90,4900
13,-3200
14,-3200
17,1300
25,1300
35,-3200
40,2600
48,2600
50,2600
55,-3200
69,3900
70,3900
75,3900
101,-3200
103,4900
107,4900
256,4900
260,4900
32,-3200
34,-3200
35,-3200
36,-3200
37,-3200
59,4900
136,4900
158,4900
28,-3200
29,300
62,300
109,300
147,-3200
152,-3200
166,1500
49,-3200
82,600
120,600
125,600
54,-3200
59,-3200
60,-3200
73,2600
86,1500
131,-3200
175,-3200
176,-3200
1,-3200
8,-3200
9,-3200
10,-3200
11,-3200
12,4900
36,4900
63,4900
67,4900
50,-3200
56,300
66,-3200
89,1300
96,1300
109,1300
150,1500
125,-3200
153,600
155,-3200
156,-3200
163,-3200
164,-3200
179,4900
201,1500
30,-3200
33,-3200
40,-3200
41,-3200
74,3900
104,3900
129,3900
18,-3200
19,-3200
20,-3200
29,-3200
30,-3200
36,4900
49,4900
62,4900
124,4900
126,4900
166,1500
1,-3200
2,-3200
3,1300
6,-3200
7,-3200
8,-3200
40,4900
48,4900
59,4900
74,4900
92,4900
188,4900
210,4900
243,4900
260,4900
299,4900
301,4900
302,4900
303,4900
304,4900
305,4900
306,4900
308,4900
310,4900
312,4900
315,4900
318,4900
321,4900
322,4900
3,-3200
4,-3200
5,1300
14,-3200
22,1500
1,-3200
2,-3200
22,1300
25,-3200
42,2600
50,2600
55,2600
57,2600
64,2600
81,2600
96,2600
8,-3200
16,300
20,300
34,300
40,300
47,-3200
48,-3200
59,-3200
62,-3200
106,4900
155,4900
188,4900
191,4900
194,4900
95,-3200
103,300
106,300
119,300
123,300
140,600
25,-3200
26,-3200
35,1300
36,1300
54,-3200
64,2600
72,2600
115,-3200
116,-3200
78,-3200
90,1500
189,-3200
194,1500
316,-3200
157,-3200
188,-3200
215,1500
241,-3200
258,300
284,-3200
289,1500
208,-3200
218,-3200
235,-3200
238,2600
241,-3200
244,1500
41,-3200
43,300
45,300
62,300
98,300
104,300
121,300
123,300
156,300
160,300
165,300
175,-3200
176,-3200
186,-3200
197,-3200
213,4900
82,-3200
89,300
98,300
99,300
108,300
109,300
116,300
124,300
155,300
204,300
5,-3200
6,-3200
7,-3200
8,2600
22,1500
98,-3200
99,-3200
121,1500
67,-3200
68,-3200
69,-3200
70,-3200
71,-3200
74,4900
84,4900
91,4900
113,4900
144,4900
173,4900
131,-3200
136,300
139,300
195,300
203,-3200
204,-3200
218,-3200
232,3900
246,-3200
287,1500
54,-3200
60,300
72,300
77,-3200
93,1300
100,-3200
114,2600
117,2600
123,2600
146,2600
197,-3200
198,-3200
249,1500
278,-3200
335,300
338,300
350,1500
7,-3200
46,300
61,300
80,300
98,-3200
101,-3200
102,-3200
105,1500
135,-3200
140,-3200
143,4900
145,4900
150,4900
153,4900
208,4900
229,4900
236,4900
255,4900
