

106,-3300
107,-3300
115,-3300
128,-3300
131,-3300
181,5200
207,5200
228,2000

129,-3300
135,2000

140,-3300
142,400
151,400
153,400
160,400
190,-3300
196,-3300
197,2800
201,2800
323,2800
337,2800
342,2800
354,2800
369,2800
381,2800
390,2800
411,2800
443,-3300
444,-3300
458,5200
461,5200
495,5200
499,5200
510,5200
540,5200
547,5200
551,5200
571,5200
594,5200
639,5200
693,5200
762,5200
854,5200
867,5200
888,5200
890,5200
908,5200
915,5200
921,5200
926,5200
1023,5200
1033,5200
1048,5200
1088,5200
1145,5200
1163,5200
1287,5200
1303,5200
1321,5200
1328,5200
1359,5200
1366,5200
1376,5200
1387,5200
1441,5200
1448,5200
1459,5200
1464,5200
1614,5200
1730,5200
1773,5200
1838,5200
1885,5200
1920,5200
2011,5200
2150,5200
2183,5200
2207,5200
2212,5200
2232,5200
2239,5200
2336,2000

61,-3300
72,400
77,2000
87,-3300
97,400
112,2000

312,-3300
326,800
346,-3300
347,-3300
348,-3300
349,-3300
351,5200
356,5200
377,5200
384,5200
389,5200
394,5200

13,-3300
19,-3300
22,1400
34,1400
35,1400
39,-3300
40,-3300
54,4200
78,4200
102,4200
103,4200
153,-3300
159,5200
161,5200
173,5200
205,5200
208,5200
216,5200
223,5200
236,5200
238,5200
257,5200
294,5200

23,-3300
25,-3300
45,-3300
50,-3300
61,4200
71,-3300
86,5200
111,5200

17,-3300
40,-3300
74,-3300
92,-3300
119,2000

9,-3300
18,400
58,400
94,400
162,2000
335,-3300
338,400
348,-3300
370,-3300
392,-3300
397,4200

173,-3300
193,400
207,400
240,2000

172,-3300
173,-3300
189,-3300

3,-3300
25,-3300
29,1400
82,1400
109,1400
127,-3300

117,-3300
128,400
132,400
133,-3300
143,1400
146,1400
159,-3300
160,-3300
166,4200
173,4200
176,4200
185,-3300
234,5200

15,-3300
16,-3300
25,-3300
26,2800
56,2800
59,2800
87,-3300
88,-3300
